,LINENAME,STATION,DATE,TIME,ENTRIES,NEW_ENTRIES
0,456,86 ST,2017-01-01,03:00:00,1149530992,0.0
1,456,86 ST,2017-01-01,07:00:00,1149531560,568.0
2,456,86 ST,2017-01-01,11:00:00,1149533480,1920.0
3,456,86 ST,2017-01-01,15:00:00,1149538670,5190.0
4,456,86 ST,2017-01-01,19:00:00,1149545492,6822.0
5,456,86 ST,2017-01-01,23:00:00,1149548978,3486.0
6,456,86 ST,2017-01-02,03:00:00,1149550230,1252.0
7,456,86 ST,2017-01-02,07:00:00,1149550584,354.0
8,456,86 ST,2017-01-02,11:00:00,1149553202,2618.0
9,456,86 ST,2017-01-02,15:00:00,1149561090,7888.0
11,456,86 ST,2017-01-02,23:00:00,1149578998,4873.0
12,456,86 ST,2017-01-03,03:00:00,1149580406,1408.0
13,456,86 ST,2017-01-03,07:00:00,1149581690,1284.0
15,456,86 ST,2017-01-03,15:00:00,1149605155,8646.0
17,456,86 ST,2017-01-03,23:00:00,1149631365,6779.0
18,456,86 ST,2017-01-04,03:00:00,1149632782,1417.0
19,456,86 ST,2017-01-04,07:00:00,1149634053,1271.0
21,456,86 ST,2017-01-04,15:00:00,1149657535,8578.0
23,456,86 ST,2017-01-04,23:00:00,1149683697,7390.0
24,456,86 ST,2017-01-05,03:00:00,1149685225,1528.0
25,456,86 ST,2017-01-05,07:00:00,1149686477,1252.0
27,456,86 ST,2017-01-05,15:00:00,1149709852,8398.0
29,456,86 ST,2017-01-05,23:00:00,1149735947,7748.0
30,456,86 ST,2017-01-06,03:00:00,1149737584,1637.0
31,456,86 ST,2017-01-06,07:00:00,1149738778,1194.0
33,456,86 ST,2017-01-06,15:00:00,1149761697,8799.0
35,456,86 ST,2017-01-06,23:00:00,1149788648,8762.0
36,456,86 ST,2017-01-07,03:00:00,1149790957,2309.0
37,456,86 ST,2017-01-07,07:00:00,1149791324,367.0
38,456,86 ST,2017-01-07,11:00:00,1149794111,2787.0
39,456,86 ST,2017-01-07,15:00:00,1149800451,6340.0
40,456,86 ST,2017-01-07,19:00:00,1149810384,9933.0
41,456,86 ST,2017-01-07,23:00:00,1149816483,6099.0
42,456,86 ST,2017-01-08,03:00:00,1149818475,1992.0
43,456,86 ST,2017-01-08,07:00:00,1149818796,321.0
44,456,86 ST,2017-01-08,11:00:00,1149820706,1910.0
45,456,86 ST,2017-01-08,15:00:00,1149826052,5346.0
46,456,86 ST,2017-01-08,19:00:00,1149833704,7652.0
47,456,86 ST,2017-01-08,23:00:00,1149837287,3583.0
48,456,86 ST,2017-01-09,03:00:00,1149838353,1066.0
49,456,86 ST,2017-01-09,07:00:00,1149839666,1313.0
51,456,86 ST,2017-01-09,15:00:00,1149861460,7562.0
53,456,86 ST,2017-01-09,23:00:00,1149885220,7019.0
54,456,86 ST,2017-01-10,03:00:00,1149886376,1156.0
55,456,86 ST,2017-01-10,07:00:00,1149887663,1287.0
57,456,86 ST,2017-01-10,15:00:00,1149910403,8075.0
59,456,86 ST,2017-01-10,23:00:00,1149935243,7072.0
60,456,86 ST,2017-01-11,03:00:00,1149936627,1384.0
61,456,86 ST,2017-01-11,07:00:00,1149937879,1252.0
63,456,86 ST,2017-01-11,15:00:00,1149960734,8259.0
65,456,86 ST,2017-01-11,23:00:00,1149985839,7142.0
66,456,86 ST,2017-01-12,03:00:00,1149987046,1207.0
70,456,86 ST,2017-01-12,15:00:00,1150010901,8178.0
72,456,86 ST,2017-01-12,23:00:00,1150036073,7571.0
73,456,86 ST,2017-01-13,03:00:00,1150037434,1361.0
74,456,86 ST,2017-01-13,07:00:00,1150038712,1278.0
76,456,86 ST,2017-01-13,15:00:00,1150061089,8732.0
78,456,86 ST,2017-01-13,23:00:00,1150086190,7538.0
79,456,86 ST,2017-01-14,03:00:00,1150087948,1758.0
82,456,86 ST,2017-01-14,15:00:00,1150097658,6580.0
83,456,86 ST,2017-01-14,19:00:00,1150107082,9424.0
84,456,86 ST,2017-01-14,23:00:00,1150112655,5573.0
85,456,86 ST,2017-01-15,03:00:00,1150114095,1440.0
86,456,86 ST,2017-01-15,07:00:00,1150114349,254.0
87,456,86 ST,2017-01-15,11:00:00,1150116175,1826.0
88,456,86 ST,2017-01-15,15:00:00,1150121490,5315.0
89,456,86 ST,2017-01-15,19:00:00,1150128972,7482.0
90,456,86 ST,2017-01-15,23:00:00,1150132514,3542.0
91,456,86 ST,2017-01-16,03:00:00,1150133541,1027.0
92,456,86 ST,2017-01-16,07:00:00,1150134019,478.0
93,456,86 ST,2017-01-16,11:00:00,1150138959,4940.0
94,456,86 ST,2017-01-16,15:00:00,1150146569,7610.0
96,456,86 ST,2017-01-16,23:00:00,1150163928,5111.0
97,456,86 ST,2017-01-17,03:00:00,1150164990,1062.0
98,456,86 ST,2017-01-17,07:00:00,1150166366,1376.0
102,456,86 ST,2017-01-17,23:00:00,1150211506,6462.0
103,456,86 ST,2017-01-18,03:00:00,1150212652,1146.0
104,456,86 ST,2017-01-18,07:00:00,1150214059,1407.0
106,456,86 ST,2017-01-18,15:00:00,1150236389,7945.0
108,456,86 ST,2017-01-18,23:00:00,1150259897,6757.0
109,456,86 ST,2017-01-19,03:00:00,1150261059,1162.0
110,456,86 ST,2017-01-19,07:00:00,1150262263,1204.0
112,456,86 ST,2017-01-19,15:00:00,1150284721,8071.0
114,456,86 ST,2017-01-19,23:00:00,1150308501,6866.0
115,456,86 ST,2017-01-20,03:00:00,1150309802,1301.0
116,456,86 ST,2017-01-20,07:00:00,1150310913,1111.0
118,456,86 ST,2017-01-20,15:00:00,1150332142,8106.0
120,456,86 ST,2017-01-20,23:00:00,1150355695,7045.0
121,456,86 ST,2017-01-21,03:00:00,1150357380,1685.0
122,456,86 ST,2017-01-21,07:00:00,1150357749,369.0
123,456,86 ST,2017-01-21,11:00:00,1150361634,3885.0
124,456,86 ST,2017-01-21,15:00:00,1150371731,10097.0
125,456,86 ST,2017-01-21,19:00:00,1150381349,9618.0
126,456,86 ST,2017-01-21,23:00:00,1150387436,6087.0
127,456,86 ST,2017-01-22,03:00:00,1150389109,1673.0
128,456,86 ST,2017-01-22,07:00:00,1150389392,283.0
129,456,86 ST,2017-01-22,11:00:00,1150391291,1899.0
130,456,86 ST,2017-01-22,15:00:00,1150396619,5328.0
131,456,86 ST,2017-01-22,19:00:00,1150403567,6948.0
132,456,86 ST,2017-01-22,23:00:00,1150407179,3612.0
133,456,86 ST,2017-01-23,03:00:00,1150408060,881.0
134,456,86 ST,2017-01-23,07:00:00,1150409213,1153.0
136,456,86 ST,2017-01-23,15:00:00,1150429934,7362.0
138,456,86 ST,2017-01-23,23:00:00,1150450749,5331.0
139,456,86 ST,2017-01-24,03:00:00,1150451726,977.0
140,456,86 ST,2017-01-24,07:00:00,1150452932,1206.0
142,456,86 ST,2017-01-24,15:00:00,1150474367,7700.0
144,456,86 ST,2017-01-24,23:00:00,1150496700,6251.0
145,456,86 ST,2017-01-25,03:00:00,1150497807,1107.0
146,456,86 ST,2017-01-25,07:00:00,1150499012,1205.0
148,456,86 ST,2017-01-25,15:00:00,1150520136,6940.0
150,456,86 ST,2017-01-25,23:00:00,1150543759,6704.0
151,456,86 ST,2017-01-26,03:00:00,1150545062,1303.0
152,456,86 ST,2017-01-26,07:00:00,1150546198,1136.0
154,456,86 ST,2017-01-26,15:00:00,1150568155,8054.0
156,456,86 ST,2017-01-26,23:00:00,1150591720,6771.0
157,456,86 ST,2017-01-27,03:00:00,1150592922,1202.0
158,456,86 ST,2017-01-27,07:00:00,1150594013,1091.0
160,456,86 ST,2017-01-27,15:00:00,1150615446,8574.0
162,456,86 ST,2017-01-27,23:00:00,1150639722,7746.0
163,6,68ST-HUNTER CO,2017-01-01,00:00:00,109504993,0.0
164,6,68ST-HUNTER CO,2017-01-01,04:00:00,109507281,2288.0
165,6,68ST-HUNTER CO,2017-01-01,08:00:00,109507503,222.0
166,6,68ST-HUNTER CO,2017-01-01,12:00:00,109508455,952.0
167,6,68ST-HUNTER CO,2017-01-01,16:00:00,109510068,1613.0
168,6,68ST-HUNTER CO,2017-01-01,20:00:00,109511989,1921.0
169,6,68ST-HUNTER CO,2017-01-02,00:00:00,109512912,923.0
170,6,68ST-HUNTER CO,2017-01-02,04:00:00,109513079,167.0
171,6,68ST-HUNTER CO,2017-01-02,08:00:00,109513331,252.0
172,6,68ST-HUNTER CO,2017-01-02,12:00:00,109514510,1179.0
173,6,68ST-HUNTER CO,2017-01-02,16:00:00,109517013,2503.0
174,6,68ST-HUNTER CO,2017-01-02,20:00:00,109520119,3106.0
175,6,68ST-HUNTER CO,2017-01-03,00:00:00,109521400,1281.0
176,6,68ST-HUNTER CO,2017-01-03,04:00:00,109521577,177.0
177,6,68ST-HUNTER CO,2017-01-03,08:00:00,109522576,999.0
178,6,68ST-HUNTER CO,2017-01-03,12:00:00,109526542,3966.0
179,6,68ST-HUNTER CO,2017-01-03,16:00:00,109533285,6743.0
180,6,68ST-HUNTER CO,2017-01-03,20:00:00,109543079,9794.0
181,6,68ST-HUNTER CO,2017-01-04,00:00:00,109545384,2305.0
182,6,68ST-HUNTER CO,2017-01-04,04:00:00,109545609,225.0
183,6,68ST-HUNTER CO,2017-01-04,08:00:00,109546563,954.0
184,6,68ST-HUNTER CO,2017-01-04,12:00:00,109550476,3913.0
185,6,68ST-HUNTER CO,2017-01-04,16:00:00,109557093,6617.0
186,6,68ST-HUNTER CO,2017-01-04,20:00:00,109567060,9967.0
187,6,68ST-HUNTER CO,2017-01-05,00:00:00,109569429,2369.0
188,6,68ST-HUNTER CO,2017-01-05,04:00:00,109569672,243.0
189,6,68ST-HUNTER CO,2017-01-05,08:00:00,109570642,970.0
190,6,68ST-HUNTER CO,2017-01-05,12:00:00,109574734,4092.0
191,6,68ST-HUNTER CO,2017-01-05,16:00:00,109581500,6766.0
192,6,68ST-HUNTER CO,2017-01-05,20:00:00,109591523,10023.0
193,6,68ST-HUNTER CO,2017-01-06,00:00:00,109594276,2753.0
194,6,68ST-HUNTER CO,2017-01-06,04:00:00,109594532,256.0
195,6,68ST-HUNTER CO,2017-01-06,08:00:00,109595505,973.0
196,6,68ST-HUNTER CO,2017-01-06,12:00:00,109599886,4381.0
197,6,68ST-HUNTER CO,2017-01-06,16:00:00,109607195,7309.0
198,6,68ST-HUNTER CO,2017-01-06,20:00:00,109615983,8788.0
199,6,68ST-HUNTER CO,2017-01-07,00:00:00,109618720,2737.0
200,6,68ST-HUNTER CO,2017-01-07,04:00:00,109619105,385.0
201,6,68ST-HUNTER CO,2017-01-07,08:00:00,109619372,267.0
202,6,68ST-HUNTER CO,2017-01-07,12:00:00,109620590,1218.0
203,6,68ST-HUNTER CO,2017-01-07,16:00:00,109623324,2734.0
204,6,68ST-HUNTER CO,2017-01-07,20:00:00,109626924,3600.0
205,6,68ST-HUNTER CO,2017-01-08,00:00:00,109628804,1880.0
206,6,68ST-HUNTER CO,2017-01-08,04:00:00,109629115,311.0
207,6,68ST-HUNTER CO,2017-01-08,08:00:00,109629321,206.0
208,6,68ST-HUNTER CO,2017-01-08,12:00:00,109630286,965.0
209,6,68ST-HUNTER CO,2017-01-08,16:00:00,109632524,2238.0
210,6,68ST-HUNTER CO,2017-01-08,20:00:00,109635358,2834.0
211,6,68ST-HUNTER CO,2017-01-09,00:00:00,109636406,1048.0
212,6,68ST-HUNTER CO,2017-01-09,04:00:00,109636586,180.0
213,6,68ST-HUNTER CO,2017-01-09,08:00:00,109637470,884.0
214,6,68ST-HUNTER CO,2017-01-09,12:00:00,109641289,3819.0
215,6,68ST-HUNTER CO,2017-01-09,16:00:00,109647582,6293.0
216,6,68ST-HUNTER CO,2017-01-09,20:00:00,109657494,9912.0
217,6,68ST-HUNTER CO,2017-01-10,00:00:00,109659724,2230.0
218,6,68ST-HUNTER CO,2017-01-10,04:00:00,109659925,201.0
219,6,68ST-HUNTER CO,2017-01-10,08:00:00,109660802,877.0
220,6,68ST-HUNTER CO,2017-01-10,12:00:00,109664826,4024.0
221,6,68ST-HUNTER CO,2017-01-10,16:00:00,109671476,6650.0
222,6,68ST-HUNTER CO,2017-01-10,20:00:00,109681623,10147.0
223,6,68ST-HUNTER CO,2017-01-11,00:00:00,109683774,2151.0
224,6,68ST-HUNTER CO,2017-01-11,04:00:00,109683965,191.0
225,6,68ST-HUNTER CO,2017-01-11,08:00:00,109684900,935.0
226,6,68ST-HUNTER CO,2017-01-11,12:00:00,109688852,3952.0
227,6,68ST-HUNTER CO,2017-01-11,16:00:00,109695352,6500.0
228,6,68ST-HUNTER CO,2017-01-11,20:00:00,109705458,10106.0
229,6,68ST-HUNTER CO,2017-01-12,00:00:00,109707591,2133.0
230,6,68ST-HUNTER CO,2017-01-12,04:00:00,109707796,205.0
231,6,68ST-HUNTER CO,2017-01-12,08:00:00,109708697,901.0
232,6,68ST-HUNTER CO,2017-01-12,12:00:00,109712729,4032.0
233,6,68ST-HUNTER CO,2017-01-12,16:00:00,109719292,6563.0
234,6,68ST-HUNTER CO,2017-01-12,20:00:00,109728994,9702.0
235,6,68ST-HUNTER CO,2017-01-13,00:00:00,109731036,2042.0
236,6,68ST-HUNTER CO,2017-01-13,04:00:00,109731266,230.0
237,6,68ST-HUNTER CO,2017-01-13,08:00:00,109732103,837.0
238,6,68ST-HUNTER CO,2017-01-13,12:00:00,109736642,4539.0
239,6,68ST-HUNTER CO,2017-01-13,16:00:00,109743213,6571.0
240,6,68ST-HUNTER CO,2017-01-13,20:00:00,109751797,8584.0
241,6,68ST-HUNTER CO,2017-01-14,00:00:00,109753882,2085.0
242,6,68ST-HUNTER CO,2017-01-14,04:00:00,109754118,236.0
243,6,68ST-HUNTER CO,2017-01-14,08:00:00,109754358,240.0
244,6,68ST-HUNTER CO,2017-01-14,12:00:00,109755483,1125.0
245,6,68ST-HUNTER CO,2017-01-14,16:00:00,109758169,2686.0
246,6,68ST-HUNTER CO,2017-01-14,20:00:00,109761007,2838.0
247,6,68ST-HUNTER CO,2017-01-15,00:00:00,109762067,1060.0
248,6,68ST-HUNTER CO,2017-01-15,04:00:00,109762247,180.0
249,6,68ST-HUNTER CO,2017-01-15,08:00:00,109762415,168.0
250,6,68ST-HUNTER CO,2017-01-15,12:00:00,109763348,933.0
251,6,68ST-HUNTER CO,2017-01-15,16:00:00,109765420,2072.0
252,6,68ST-HUNTER CO,2017-01-15,20:00:00,109767659,2239.0
253,6,68ST-HUNTER CO,2017-01-16,00:00:00,109768579,920.0
254,6,68ST-HUNTER CO,2017-01-16,04:00:00,109768714,135.0
255,6,68ST-HUNTER CO,2017-01-16,08:00:00,109769059,345.0
256,6,68ST-HUNTER CO,2017-01-16,12:00:00,109770950,1891.0
257,6,68ST-HUNTER CO,2017-01-16,16:00:00,109774304,3354.0
258,6,68ST-HUNTER CO,2017-01-16,20:00:00,109779218,4914.0
